
НД: 200000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;35.7463п2;53.4500п3;70.1274п4;
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;13.0494п2;9.7489п3;8.6126п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;12.2962п2;8.7736п3;7.8099п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;36.7895п2;53.9440п3;69.6904п4;

НД: 750000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;33.2524п2;33.3224п3;33.2322п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;32.2844п2;31.9222п3;31.6642п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;68.9722п2;100.9087п3;125.8754п4;
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;32.5226п2;32.3884п3;32.3462п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;31.3792п2;30.8692п3;30.6981п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;68.1701п2;102.3333п3;126.6455п4;
Последоватьное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;33.3471п2;33.4777п3;33.3155п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;32.3359п2;31.9484п3;31.5993п4;
Последоватьное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;68.7266п2;102.2947п3;127.2661п4;
